Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.04694640001980588   16   1 
0.0003913000109605491   784   7 
0.0003507999936118722   1600   10 
0.0010476000024937093   6400   20 
0.00390999999945052   40000   50 
0.00422259999322705   78400   70 
0.0035957000218331814   115600   85 
0.00494109999272041   160000   100 
0.005793900025309995   360000   150 
0.00890740001341328   640000   200 
0.008935699996072799   1000000   250 
0.00947190000442788   1440000   300 
0.013211599987698719   2560000   400 
0.016493500006617978   4000000   500 
0.041817699995590374   9000000   750 
0.05215510001289658   10240000   800 
0.10239879999426194   14440000   950 
0.09216529998229817   16000000   1000 
0.1849678999860771   25000000   1250 
0.25866180000593886   31360000   1400 
0.2617255999939516   36000000   1500 
0.3370262999960687   43560000   1650 
0.4845812000276055   54760000   1850 
0.5383819999988191   60840000   1950 
0.6011107999947853   64000000   2000 
0.9613498999970034   92160000   2400 
2.3255223000014666   174240000   3300 
6.694736600009492   338560000   4600 
7.952209399983985   400000000   5000 
24.38845319999382   900000000   7500 
54.912845899991225   1600000000   10000 
0.09695700000156648   16   1 
0.00038270000368356705   784   7 
0.0003504000196699053   1600   10 
0.0010858000023290515   6400   20 
0.14113770000403747   40000   50 
0.02018829999724403   78400   70 
0.005164100002730265   115600   85 
0.005748900002799928   160000   100 
0.005390299978898838   360000   150 
0.011944099998800084   640000   200 
0.010685799992643297   1000000   250 
0.022031800006516278   1440000   300 
0.013926200015703216   2560000   400 
0.016278800001600757   4000000   500 
0.04878169999574311   9000000   750 
0.056701900000916794   10240000   800 
0.0932537000044249   14440000   950 
0.10079779999796301   16000000   1000 
0.2225804000045173   25000000   1250 
0.23413369999616407   31360000   1400 
0.27676149999024346   36000000   1500 
0.3987114999908954   43560000   1650 
0.5249992000171915   54760000   1850 
0.5773747000203002   60840000   1950 
0.5938159999786876   64000000   2000 
0.9624216000083834   92160000   2400 
2.521001699991757   174240000   3300 
6.051562300010119   338560000   4600 
7.652107399975648   400000000   5000 
29.427779999998165   900000000   7500 
70.20626700000139   1600000000   10000 
0.0908828999963589   16   1 
0.00021730002481490374   784   7 
0.0003567000094335526   1600   10 
0.001038200018228963   6400   20 
0.00906310000573285   40000   50 
0.008274600026197731   78400   70 
0.0024267999979201704   115600   85 
0.04569840000476688   160000   100 
0.019925000000512227   360000   150 
0.004598300001816824   640000   200 
0.004979000019375235   1000000   250 
0.008667099988088012   1440000   300 
0.011115799978142604   2560000   400 
0.019775900000240654   4000000   500 
0.06370289999176748   9000000   750 
0.06294879998313263   10240000   800 
0.10395419999258593   14440000   950 
0.15050540000083856   16000000   1000 
0.20360380000784062   25000000   1250 
0.3169763000041712   31360000   1400 
0.3452840000099968   36000000   1500 
0.43208110000705346   43560000   1650 
0.6899318000068888   54760000   1850 
0.7752635999931954   60840000   1950 
1.0004753000102937   64000000   2000 
1.1878593000001274   92160000   2400 
2.709052000020165   174240000   3300 
8.266250099986792   338560000   4600 
7.715930900012609   400000000   5000 
24.73630439999397   900000000   7500 
57.06525850002072   1600000000   10000 
0.08536980001372285   16   1 
0.00014310001279227436   784   7 
0.00010320000001229346   1600   10 
0.0002762000076472759   6400   20 
0.004266799980541691   40000   50 
0.0025639000232331455   78400   70 
0.00121339998440817   115600   85 
0.0022165000264067203   160000   100 
0.002361199993174523   360000   150 
0.00452190000214614   640000   200 
0.006273000006331131   1000000   250 
0.007799800019711256   1440000   300 
0.010803200013469905   2560000   400 
0.01753200002713129   4000000   500 
0.04638810001779348   9000000   750 
0.0637843000004068   10240000   800 
0.07721990000572987   14440000   950 
0.08856120001291856   16000000   1000 
0.18346349999774247   25000000   1250 
0.2862477000162471   31360000   1400 
0.2805336000164971   36000000   1500 
0.37550480000209063   43560000   1650 
0.5872422999818809   54760000   1850 
0.6274243999796454   60840000   1950 
0.6107096999767236   64000000   2000 
1.0270441000175197   92160000   2400 
2.417984899977455   174240000   3300 
6.007050499989418   338560000   4600 
7.5905960999953095   400000000   5000 
25.446570999978576   900000000   7500 
65.86876059998758   1600000000   10000 
0.09346309999818914   16   1 
