Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.15327079998678528   16   1 
0.0009529000089969486   784   7 
0.00016729999333620071   1600   10 
0.00023800000781193376   6400   20 
0.00043559999903663993   40000   50 
0.0005283000064082444   78400   70 
0.0006584000075235963   115600   85 
0.000784299976658076   160000   100 
0.001196000026538968   360000   150 
0.0021970999951008707   640000   200 
0.00840360001893714   1000000   250 
0.012320199981331825   1440000   300 
0.0066747999808285385   2560000   400 
0.019915199984097853   4000000   500 
0.0483179000148084   9000000   750 
0.06556139999884181   10240000   800 
0.11607169997296296   14440000   950 
0.12726109998766333   16000000   1000 
0.21922919998178259   25000000   1250 
0.3244112000102177   31360000   1400 
0.32276129999081604   36000000   1500 
0.40790580000611953   43560000   1650 
0.5806626999983564   54760000   1850 
0.7141302999807522   60840000   1950 
0.7034790999896359   64000000   2000 
1.2350224999827333   92160000   2400 
2.912965900002746   174240000   3300 
6.850709700025618   338560000   4600 
8.801838499988662   400000000   5000 
29.95138529999531   900000000   7500 
69.56880649999948   1600000000   10000 
0.12862760000280105   16   1 
0.00041959999362006783   784   7 
0.0003452999808359891   1600   10 
0.0003361999988555908   6400   20 
0.0007354000117629766   40000   50 
0.0008168999920599163   78400   70 
0.0010217000090051442   115600   85 
0.0007070999999996275   160000   100 
0.0013925000093877316   360000   150 
0.0019321000145282596   640000   200 
0.006616099999519065   1000000   250 
0.004305300011765212   1440000   300 
0.008247699995990843   2560000   400 
0.031545400008326396   4000000   500 
0.09067050000885502   9000000   750 
0.054910600010771304   10240000   800 
0.10068560001673177   14440000   950 
0.11946410001837648   16000000   1000 
0.19942610000725836   25000000   1250 
0.2576984000043012   31360000   1400 
0.3402815000154078   36000000   1500 
0.45133569999597967   43560000   1650 
0.602783799986355   54760000   1850 
0.7582963999884669   60840000   1950 
0.644644000014523   64000000   2000 
1.1449980000033975   92160000   2400 
2.994763499998953   174240000   3300 
8.219967599987285   338560000   4600 
10.301583099993877   400000000   5000 
32.70934750000015   900000000   7500 
72.51202059999923   1600000000   10000 
0.11236959998495877   16   1 
0.00035519999801181257   784   7 
0.00015139998868107796   1600   10 
0.0002232000115327537   6400   20 
0.0004731999943032861   40000   50 
0.0011393000022508204   78400   70 
0.0007048000115901232   115600   85 
0.0006449999928008765   160000   100 
0.0013868999958503991   360000   150 
0.004404500010423362   640000   200 
0.00494849999086   1000000   250 
0.004305000009480864   1440000   300 
0.008137699973303825   2560000   400 
0.012506500002928078   4000000   500 
0.048066899995319545   9000000   750 
0.04952309999498539   10240000   800 
0.10934110000380315   14440000   950 
0.12966880001476966   16000000   1000 
0.23283120000269264   25000000   1250 
0.3388101999880746   31360000   1400 
0.376799799996661   36000000   1500 
0.5233966000087094   43560000   1650 
0.6329341000237036   54760000   1850 
0.7449714000103995   60840000   1950 
0.6984009000007063   64000000   2000 
1.2256691999791656   92160000   2400 
3.0433008999971207   174240000   3300 
7.599858000001404   338560000   4600 
8.87772540000151   400000000   5000 
30.512162900005933   900000000   7500 
72.49210480001057   1600000000   10000 
0.10557640000479296   16   1 
0.00036460001138038933   784   7 
0.00042210001265630126   1600   10 
0.00040520000038668513   6400   20 
0.0009476999985054135   40000   50 
0.002421900018816814   78400   70 
0.0010146000131499022   115600   85 
0.0010206000006292015   160000   100 
0.0027017000247724354   360000   150 
0.005860399978701025   640000   200 
0.01027649999014102   1000000   250 
0.0033977999992202967   1440000   300 
0.005998100008582696   2560000   400 
0.024619000003440306   4000000   500 
0.056763900007354096   9000000   750 
0.056072300008963794   10240000   800 
0.1578954000142403   14440000   950 
0.15179469998111017   16000000   1000 
0.20517800000379793   25000000   1250 
0.28919119999045506   31360000   1400 
0.3997747999965213   36000000   1500 
0.43922190001467243   43560000   1650 
0.6980999000079464   54760000   1850 
0.6993618000124115   60840000   1950 
0.6893987999937963   64000000   2000 
1.2129360999970231   92160000   2400 
3.0745914000144694   174240000   3300 
7.96470730000874   338560000   4600 
10.844547199987574   400000000   5000 
35.63044370000716   900000000   7500 
85.54384440000285   1600000000   10000 
0.1025777000177186   16   1 
0.0003319999959785491   784   7 
0.0003420000139158219   1600   10 
0.00022870002430863678   6400   20 
0.0006828999903518707   40000   50 
0.0010139000078197569   78400   70 
0.0035383999929763377   115600   85 
0.0006403999868780375   160000   100 
0.0012735000054817647   360000   150 
0.0020032999746035784   640000   200 
0.0020235999836586416   1000000   250 
0.004331600008299574   1440000   300 
0.006989599991356954   2560000   400 
0.025257400004193187   4000000   500 
0.06844989999081008   9000000   750 
0.0515169000136666   10240000   800 
0.09879369998816401   14440000   950 
0.11236679999274202   16000000   1000 
0.27605270000640303   25000000   1250 
0.2837022000167053   31360000   1400 
0.3489584000199102   36000000   1500 
0.49794450000626966   43560000   1650 
0.6779764999810141   54760000   1850 
0.7590123000263702   60840000   1950 
0.8286834000027739   64000000   2000 
1.405125199991744   92160000   2400 
3.1435720999725163   174240000   3300 
7.183284900005674   338560000   4600 
9.619738099980168   400000000   5000 
31.2680163999903   900000000   7500 
68.93861569999717   1600000000   10000 
0.12339490000158548   16   1 
0.0003988000098615885   784   7 
0.0003865000035148114   1600   10 
0.0005668000085279346   6400   20 
0.0032635999959893525   40000   50 
0.0008953000069595873   78400   70 
0.001715399994282052   115600   85 
0.0011966000020038337   160000   100 
0.0012872999941464514   360000   150 
0.00201489997562021   640000   200 
0.006723800004692748   1000000   250 
0.009334999980637804   1440000   300 
0.006793899985495955   2560000   400 
0.022880999982589856   4000000   500 
0.08809840001049452   9000000   750 
0.09615610001492314   10240000   800 
0.09219699999084696   14440000   950 
0.11186360000283457   16000000   1000 
0.18984910001745448   25000000   1250 
0.26360780000686646   31360000   1400 
0.38512079999782145   36000000   1500 
0.45799160000751726   43560000   1650 
0.6909572000149637   54760000   1850 
0.7946940000110772   60840000   1950 
0.7831775000086054   64000000   2000 
1.2364381999941543   92160000   2400 
3.003916899993783   174240000   3300 
6.946395000006305   338560000   4600 
9.103485999978147   400000000   5000 
33.29076659999555   900000000   7500 
70.56925770000089   1600000000   10000 
0.11924420000286773   16   1 
0.00033439998514950275   784   7 
0.0003201999934390187   1600   10 
0.00023889998556114733   6400   20 
0.0005293999856803566   40000   50 
0.0008476999937556684   78400   70 
0.0008055999933276325   115600   85 
0.0036881999985780567   160000   100 
0.001560900011099875   360000   150 
0.012896800006274134   640000   200 
0.0027932999946642667   1000000   250 
0.0046827000041957945   1440000   300 
0.009081900003366172   2560000   400 
0.021960899990517646   4000000   500 
0.05301480001071468   9000000   750 
0.04522040000301786   10240000   800 
0.08731969998916611   14440000   950 
0.09708179999142885   16000000   1000 
0.22116379998624325   25000000   1250 
0.2587033000017982   31360000   1400 
0.3537470999872312   36000000   1500 
0.48408179997932166   43560000   1650 
0.5747016999812331   54760000   1850 
0.675754700001562   60840000   1950 
0.7179499999911059   64000000   2000 
1.1310586000035983   92160000   2400 
2.7486696999985725   174240000   3300 
7.214251700002933   338560000   4600 
9.03260040000896   400000000   5000 
29.950362899980973   900000000   7500 
78.03121089999331   1600000000   10000 
0.15670040002441965   16   1 
0.0002862999972421676   784   7 
0.00028459998429752886   1600   10 
0.0003999000182375312   6400   20 
0.0005209000082686543   40000   50 
0.0028486000082921237   78400   70 
0.003667600016342476   115600   85 
0.0008200000156648457   160000   100 
0.002222499984782189   360000   150 
0.014315000007627532   640000   200 
0.011717900022631511   1000000   250 
0.007656400004634634   1440000   300 
0.013116899994201958   2560000   400 
0.027106800000183284   4000000   500 
