Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.08597060001920909   10   1 
0.00030270000570453703   490   7 
0.0004023000074084848   1000   10 
0.0004721999866887927   4000   20 
0.0009485000045970082   25000   50 
0.006991500005824491   49000   70 
0.00171720000798814   72250   85 
0.0019982000230811536   100000   100 
0.0024924000026658177   225000   150 
0.0029651999939233065   400000   200 
0.003970899997511879   625000   250 
0.004083000007085502   900000   300 
0.008447100000921637   1600000   400 
0.011549300019396469   2500000   500 
0.026349599997047335   5625000   750 
0.06054459998267703   6400000   800 
0.08085830000345595   9025000   950 
0.10866189998341724   10000000   1000 
0.16205750001245178   15625000   1250 
0.21171220001997426   19600000   1400 
0.21959819999756292   22500000   1500 
0.27844890000415035   27225000   1650 
0.3955699000216555   34225000   1850 
0.49321499999496154   38025000   1950 
0.41627149999840185   40000000   2000 
0.7945213000057265   57600000   2400 
1.7815548999933526   108900000   3300 
4.497128799994243   211600000   4600 
5.65498680001474   250000000   5000 
17.63433190001524   562500000   7500 
41.68004399997881   1000000000   10000 
0.11424559997976758   10   1 
0.0002072000061161816   490   7 
0.0006434000097215176   1000   10 
0.0005127000040374696   4000   20 
0.0007809000089764595   25000   50 
0.0009460999863222241   49000   70 
0.000908499991055578   72250   85 
0.0007394999847747386   100000   100 
0.001516399992397055   225000   150 
0.0020243999897502363   400000   200 
0.0038684000028297305   625000   250 
0.004283899994334206   900000   300 
0.007283899991307408   1600000   400 
0.010117099998751655   2500000   500 
0.03408830001717433   5625000   750 
0.031018200010294095   6400000   800 
0.06327959999907762   9025000   950 
0.07949089998146519   10000000   1000 
0.16377330000977963   15625000   1250 
0.2205660000036005   19600000   1400 
0.255182099994272   22500000   1500 
0.23309819999849424   27225000   1650 
0.41322409998974763   34225000   1850 
0.42387179998331703   38025000   1950 
0.47776410001097247   40000000   2000 
0.7488976000167895   57600000   2400 
1.8129065000102855   108900000   3300 
4.421905099996366   211600000   4600 
6.386454999999842   250000000   5000 
18.49223269999493   562500000   7500 
41.98157669999637   1000000000   10000 
0.09250630001770332   10   1 
0.00022139999782666564   490   7 
0.000155999994603917   1000   10 
0.0001973999897018075   4000   20 
0.00025079998886212707   25000   50 
0.0005735000013373792   49000   70 
0.0006481000164058059   72250   85 
0.0006299999949987978   100000   100 
0.0014344000082928687   225000   150 
0.0019107999978587031   400000   200 
0.0028711000049952418   625000   250 
0.0038579000101890415   900000   300 
0.006488799990620464   1600000   400 
0.012518499977886677   2500000   500 
0.03797110001323745   5625000   750 
0.03928909997921437   6400000   800 
0.06973300001118332   9025000   950 
0.0636798000195995   10000000   1000 
0.10241069999756292   15625000   1250 
0.17140089999884367   19600000   1400 
0.2617245999863371   22500000   1500 
0.3156256999936886   27225000   1650 
0.32477839998318814   34225000   1850 
0.4155556999903638   38025000   1950 
0.4161894000135362   40000000   2000 
0.7630236999830231   57600000   2400 
1.7179002999910153   108900000   3300 
4.338999600004172   211600000   4600 
5.532532700017327   250000000   5000 
17.65813850000268   562500000   7500 
40.60034590002033   1000000000   10000 
0.0960577999940142   10   1 
0.00021190001280047   490   7 
0.0005024000129196793   1000   10 
0.00024399999529123306   4000   20 
0.0005208999791648239   25000   50 
0.000597700010985136   49000   70 
0.0007504000095650554   72250   85 
0.0007370999956037849   100000   100 
0.0012700000079348683   225000   150 
0.0020887000137008727   400000   200 
0.0024935000110417604   625000   250 
0.0039247999957297   900000   300 
0.007809100003214553   1600000   400 
0.020786499982932582   2500000   500 
0.04808119998779148   5625000   750 
0.04389799997443333   6400000   800 
0.055134099995484576   9025000   950 
0.07689729999401607   10000000   1000 
0.14443409998784773   15625000   1250 
0.19714670002576895   19600000   1400 
0.22463919999427162   22500000   1500 
0.24495680001564324   27225000   1650 
