Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.08691209999960847   8   1 
0.00034210001467727125   392   7 
0.00021430000197142363   800   10 
0.0002823999966494739   3200   20 
0.0004890999989584088   20000   50 
0.0008695999858900905   39200   70 
0.0008496000082232058   57800   85 
0.0006297999934758991   80000   100 
0.001368400000501424   180000   150 
0.0017706000071484596   320000   200 
0.0021739999938290566   500000   250 
0.003066699980990961   720000   300 
0.005042100005084649   1280000   400 
0.008431299997027963   2000000   500 
0.020147399976849556   4500000   750 
0.025549400015734136   5120000   800 
0.03324280001106672   7220000   950 
0.04501149998395704   8000000   1000 
0.09512309997808188   12500000   1250 
0.10768259997712448   15680000   1400 
0.09384980000322685   18000000   1500 
0.1429409999982454   21780000   1650 
0.22644840000430122   27380000   1850 
0.23840540001401678   30420000   1950 
0.2667899999942165   32000000   2000 
0.3548047000076622   46080000   2400 
0.9992033000162337   87120000   3300 
2.384314099996118   169280000   4600 
2.9668907999875955   200000000   5000 
9.345715900009964   450000000   7500 
26.098807000002125   800000000   10000 
0.05767469998681918   8   1 
0.0002989000058732927   392   7 
0.00041870001587085426   800   10 
0.0003234000178053975   3200   20 
0.0007067999977152795   20000   50 
0.003660200018202886   39200   70 
0.0008277000160887837   57800   85 
0.0013107999984640628   80000   100 
0.003416999999899417   180000   150 
0.001672099984716624   320000   200 
0.002077299985103309   500000   250 
0.0030098999850451946   720000   300 
0.008464100013952702   1280000   400 
0.011215399979846552   2000000   500 
0.02267010000650771   4500000   750 
0.021866700000828132   5120000   800 
0.04544029998942278   7220000   950 
0.07451910001691431   8000000   1000 
0.11001450000912882   12500000   1250 
0.16012970000156201   15680000   1400 
0.16665719999582507   18000000   1500 
0.2615617999981623   21780000   1650 
0.3385493000096176   27380000   1850 
0.34373200000845827   30420000   1950 
0.23398690001340583   32000000   2000 
0.388187000004109   46080000   2400 
1.3627827000163961   87120000   3300 
2.7375953999871854   169280000   4600 
4.1917172000103164   200000000   5000 
12.861091099999612   450000000   7500 
27.23719680000795   800000000   10000 
0.04717770000570454   8   1 
0.00024690001737326384   392   7 
0.00017859999206848443   800   10 
0.0002832000027410686   3200   20 
0.0005550000059884042   20000   50 
0.0006924000044818968   39200   70 
0.0008733000140637159   57800   85 
0.0008863999973982573   80000   100 
0.0013595000200439245   180000   150 
0.0015903999737929553   320000   200 
0.0020300000032875687   500000   250 
0.0025836999993771315   720000   300 
0.003914900007657707   1280000   400 
0.006281700014369562   2000000   500 
0.016180200007511303   4500000   750 
0.016657999978633597   5120000   800 
0.03727719999733381   7220000   950 
0.039848299988079816   8000000   1000 
0.07561070000519976   12500000   1250 
0.09284949998254888   15680000   1400 
