Tiempo[s]   Memoria[bytes]    Tamaño 
9.400000000000001e-05   216   3 
1.6700000000000135e-05   1176   7 
1.1000000000000159e-05   2400   10 
1.1800000000000178e-05   9600   20 
0.0001368000000000003   60000   50 
0.00022669999999999982   117600   70 
0.00018400000000000014   173400   85 
0.0041373   240000   100 
0.0007272000000000008   540000   150 
0.0006864999999999996   960000   200 
0.0012010000000000007   1500000   250 
0.001963600000000003   2160000   300 
0.012136499999999998   3840000   400 
0.07633880000000001   6000000   500 
0.041035199999999994   13500000   750 
0.07044920000000002   15360000   800 
0.09720779999999996   21660000   950 
0.07492019999999994   24000000   1000 
0.1885030000000001   37500000   1250 
0.38595860000000004   47040000   1400 
0.3142103999999999   54000000   1500 
0.7344207999999999   65340000   1650 
0.5430495999999998   82140000   1850 
0.5023080999999996   91260000   1950 
0.5811842   96000000   2000 
1.1881594999999994   138240000   2400 
2.6342176000000004   261360000   3300 
9.2442198   507840000   4600 
9.697032099999998   600000000   5000 
35.5790811   1350000000   7500 
52.337035099999994   2400000000   10000 
0.13892420000001948   216   3 
3.7299999974038656e-05   1176   7 
2.6300000001810986e-05   2400   10 
1.3400000000274304e-05   9600   20 
4.7899999998435305e-05   60000   50 
0.0003120000000080836   117600   70 
0.0003010000000074342   173400   85 
0.0003105000000118707   240000   100 
0.0007639000000096985   540000   150 
0.0008371000000124695   960000   200 
0.003157899999990832   1500000   250 
0.0024398999999846183   2160000   300 
0.01002410000000964   3840000   400 
0.011617800000010448   6000000   500 
0.03231210000001283   13500000   750 
0.042502700000000004   15360000   800 
0.04919399999999996   21660000   950 
0.05886630000000537   24000000   1000 
0.09922869999999762   37500000   1250 
0.15510530000000244   47040000   1400 
0.16376339999999345   54000000   1500 
0.2693316000000152   65340000   1650 
0.3267045000000053   82140000   1850 
0.3535976999999946   91260000   1950 
0.40691079999999147   96000000   2000 
0.6510453999999868   138240000   2400 
1.8593020000000138   261360000   3300 
5.160541899999998   507840000   4600 
5.577718500000003   600000000   5000 
18.823109799999997   1350000000   7500 
52.18610330000001   2400000000   10000 
0.1427821999999992   216   3 
2.3300000009385258e-05   1176   7 
3.000000000952241e-05   2400   10 
1.4399999997749546e-05   9600   20 
4.9699999976837717e-05   60000   50 
0.0002829999999960364   117600   70 
0.0003425999999819851   173400   85 
0.0002784999999789761   240000   100 
0.00047340000000417604   540000   150 
